FaunalSpeciesID	PhaseID	TaxonCode	NISP	SpeciesNote	AgeCriteriaBF	AgeCriteriaDA	AgeCriteriaDE	AgeNote	AgeTrend	HorncoreNote	HorncoreShape	Pathology	PathologyNote	PresenceOfFoetals	PresenceOnly	SexCriteriaME	SexCriteriaMO	SexNote	SexTrend	CitationID	time_added	user_added	time_last_update	user_last_update
FS2011007	HETER1	bostaur	175	only NISP of the main domesticates was published in the paper	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011008	HETER1	oviscap	28	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011009	HETER1	susscrd	11	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS2011010	HETER1	equucab	35	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-12 11:14:53	jelena@localhost	2024-07-12 11:14:53	jelena@localhost
FS1627778	TBO	abrabra	118	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627779	TBO	anguang	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627780	TBO	bosprim	11	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627781	TBO	bostaur	1861	\N	yes	yes	yes	\N	Mainly young	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627782	TBO	canifam	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627783	TBO	caprcap	6	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627784	TBO	cervela	13	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627785	TBO	cyprind	639	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627786	TBO	erineur	3	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627787	TBO	esoxluc	65	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627788	TBO	lepueur	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627789	TBO	leuccep	10	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627790	TBO	oviscap	224	\N	yes	yes	yes	\N	Mainly young	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627791	TBO	percflu	29	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627792	TBO	piscind	6320	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627793	TBO	rumindb	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627794	TBO	rutirut	54	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627795	TBO	scarery	4	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627796	TBO	susscrd	720	\N	yes	yes	yes	\N	Mainly young	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627797	TBO	susscrf	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627798	TBO	susspec	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627799	TBO	tinctin	9	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1627800	TBO	vulpvul	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632189	DRZ	bostaur	4018	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632190	DRZ	susscrd	1052	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632191	DRZ	oviscap	223	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632192	DRZ	canifam	19	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632193	DRZ	castfib	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632194	DRZ	equuspe	30	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632195	DRZ	cervela	8	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632196	DRZ	caprcap	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632197	DRZ	bosprim	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632198	DRZ	avesind	10	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632199	DRZ	piscind	21	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632201	DRZ2	bostaur	19	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632202	DRZ2	susscrd	8	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632203	DRZ2	castfib	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632204	DRZ3	bostaur	44	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632205	DRZ3	susscrd	12	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632206	DRZ3	oviscap	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630764	PUSC	ovisari	13	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630765	PUSC	oviscap	44	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630766	PUSC	caprhir	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630767	PUSC	bostaur	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630768	PUSC	susscrd	57	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1630769	PUSC	caprcap	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS2006967	DRAGU1	bostaur	1225	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006968	DRAGU1	bosprim	13	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006969	DRAGU1	bisobon	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006970	DRAGU1	bosspec	136	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006971	DRAGU1	bisobos	97	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006972	DRAGU1	ovisari	38	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006973	DRAGU1	caprhir	42	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006974	DRAGU1	oviscap	133	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006975	DRAGU1	susscrd	288	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006976	DRAGU1	susscrf	205	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006977	DRAGU1	susspec	476	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006978	DRAGU1	cervela	436	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006979	DRAGU1	caprcap	50	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006980	DRAGU1	boscerv	180	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006981	DRAGU1	ovcapcap	19	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006982	DRAGU1	canifam	23	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006983	DRAGU1	equuspe	4	It is Equus caballus in the publication but its domestic or wild status is unclear, so it should be Equus sp.	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-14 10:25:38	jelena@localhost
FS2006984	DRAGU1	ursuarc	5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006985	DRAGU1	canilup	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006986	DRAGU1	vulpvul	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006987	DRAGU1	melemel	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006988	DRAGU1	lynxlyn	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006989	DRAGU1	castfib	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS2006990	DRAGU1	lepueur	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	haimo2009a	2023-07-12 14:05:16	jelena@localhost	2023-07-12 14:05:16	jelena@localhost
FS1632027	MRO	bostaur	359	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632028	MRO	susscrd	78	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632029	MRO	oviscap	93	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632030	MRO	canifam	8	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632031	MRO	equucab	3	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632032	MRO	cervela	36	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632033	MRO	susscrf	12	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632034	MRO	ursuarc	7	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632035	MRO	caprcap	3	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632036	MRO	lynxlyn	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632037	MRO	castfib	1	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1632038	MRO	mollind	5	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS2008600	ADAMC1	mammind	486	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2023-08-31 08:44:03	jelena@localhost
FS2008601	ADAMC1	equucab	81	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2025-03-24 12:32:58	adrian@localhost
FS2008602	ADAMC1	bostaur	59	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2025-03-24 12:32:58	adrian@localhost
FS2008603	ADAMC1	ovisari	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2023-08-31 08:44:03	jelena@localhost
FS2008604	ADAMC1	caprhir	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2023-08-31 08:44:03	jelena@localhost
FS2008605	ADAMC1	oviscap	31	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2025-03-24 12:32:58	adrian@localhost
FS2008606	ADAMC1	susscrd	23	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2025-03-24 12:32:58	adrian@localhost
FS2008607	ADAMC1	canifam	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2023-08-31 08:44:03	jelena@localhost
FS2008608	ADAMC1	cervela	5	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	st_be2019a	2023-08-31 08:44:03	jelena@localhost	2023-08-31 08:44:03	jelena@localhost
FS2011066	FERWE1	bostaur	43	only NISP of the main domesticates was published in the paper	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-17 12:05:28	jelena@localhost	2024-07-17 12:05:28	jelena@localhost
FS2011067	FERWE1	oviscap	31	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-17 12:05:28	jelena@localhost	2024-07-17 12:05:28	jelena@localhost
FS2011068	FERWE1	equucab	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-07-17 12:05:28	jelena@localhost	2024-07-17 12:05:28	jelena@localhost
FS2011833	FERWE2	bostaur	62	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-10-31 12:43:42	jelena@localhost	2024-10-31 12:43:42	jelena@localhost
FS2011834	FERWE2	oviscap	39	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-10-31 12:43:42	jelena@localhost	2024-10-31 12:43:42	jelena@localhost
FS2011835	FERWE2	susscrd	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-10-31 12:43:42	jelena@localhost	2024-10-31 12:43:42	jelena@localhost
FS2011836	FERWE2	equucab	9	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-10-31 12:43:42	jelena@localhost	2024-10-31 12:43:42	jelena@localhost
FS2011957	FERWE3	bostaur	50	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-11-04 12:55:00	jelena@localhost	2024-11-04 12:55:00	jelena@localhost
FS2011958	FERWE3	oviscap	61	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-11-04 12:55:00	jelena@localhost	2024-11-04 12:55:00	jelena@localhost
FS2011959	FERWE3	susscrd	1	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-11-04 12:55:00	jelena@localhost	2024-11-04 12:55:00	jelena@localhost
FS2011960	FERWE3	equucab	3	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	\N	groot2024a	2024-11-04 12:55:00	jelena@localhost	2024-11-04 12:55:00	jelena@localhost
FS1625991	RAT	bosspec	9	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1625992	RAT	bostaur	166	\N	no	no	no	\N	Not stated/recorded	Primigenius type	Not stated	no	\N	no	no	yes	no	Based on metapodials	Majority female	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
FS1625993	RAT	caprcap	2	\N	no	no	no	\N	Not stated/recorded	\N	Not stated	no	\N	no	no	no	no	\N	Not stated/recorded	\N	\N	\N	2025-03-24 13:47:51	adrian@localhost
